sample_id,rainfall_24h_mm,soil_moisture_pct,slope_deg,ground_movement_mm,elevation_m,curvature,failure_occurred
SMP-00147,13.6,86.8,41.9,6.09,1988.0,0.0,0
SMP-00148,81.9,73.3,25.0,2.78,2470.0,0.21,0
SMP-00149,244.2,31.9,24.7,0.12,2882.0,0.32,1
SMP-00150,166.5,36.7,40.2,5.33,2612.0,-0.14,1
SMP-00151,54.1,78.0,36.3,6.54,2840.0,0.28,0
SMP-00152,71.8,43.5,48.4,4.14,565.0,-0.24,1
SMP-00153,68.4,59.7,13.9,1.37,905.0,-0.17,0
SMP-00154,84.4,96.8,12.3,5.63,1600.0,-0.32,0
SMP-00155,207.9,71.6,45.0,8.82,2980.0,-0.42,1
SMP-00156,41.1,73.5,51.7,6.48,1540.0,0.08,0
SMP-00157,178.6,89.3,26.1,6.39,972.0,0.3,1
SMP-00158,71.9,74.2,37.7,3.21,1873.0,0.25,0
SMP-00159,40.7,90.3,49.7,4.79,730.0,-0.24,1
SMP-00160,247.9,81.1,18.6,6.08,825.0,-0.3,1
SMP-00161,156.0,65.1,23.2,6.19,1887.0,0.4,1
SMP-00162,99.5,65.4,38.4,0.71,1559.0,0.12,0
SMP-00163,38.3,44.5,47.8,7.75,501.0,0.2,0
SMP-00164,238.0,68.3,32.4,8.04,1195.0,-0.44,1
SMP-00165,103.3,82.7,22.6,1.18,2565.0,0.47,0
SMP-00166,10.3,67.7,50.7,4.83,957.0,-0.03,0
SMP-00167,231.3,88.9,49.2,8.68,311.0,-0.41,1
SMP-00168,153.6,61.6,21.6,0.38,1553.0,-0.19,0
SMP-00169,213.0,38.0,29.8,9.49,1576.0,-0.27,1
SMP-00170,246.4,62.3,28.3,4.86,456.0,-0.43,1
SMP-00171,23.1,63.8,30.2,7.8,1086.0,-0.3,0
SMP-00172,72.5,51.6,30.1,3.42,605.0,0.07,0
SMP-00173,37.8,86.4,42.0,2.24,1016.0,0.35,0
SMP-00174,138.5,51.5,36.9,4.74,930.0,0.18,0
SMP-00175,192.5,76.1,33.7,7.52,1255.0,-0.22,1
SMP-00176,143.4,70.9,45.3,5.88,565.0,-0.48,1
SMP-00177,163.2,48.5,45.3,7.48,455.0,0.21,1
SMP-00178,225.9,52.9,40.4,3.53,2341.0,0.06,1
SMP-00179,216.7,60.9,34.3,5.23,550.0,0.14,1
SMP-00180,125.8,46.4,44.3,1.19,2938.0,0.25,0
SMP-00181,243.0,96.6,45.0,5.45,308.0,-0.05,1
SMP-00182,132.3,70.2,25.9,2.4,1554.0,-0.03,1
SMP-00183,126.8,97.8,38.2,1.16,2449.0,0.01,1
SMP-00184,221.6,83.6,33.7,1.17,783.0,0.36,1
SMP-00185,29.2,44.7,26.3,2.32,1079.0,0.12,0
SMP-00186,233.1,48.5,35.9,5.56,1511.0,0.04,1
SMP-00187,50.5,63.8,36.8,1.5,2746.0,0.45,0
SMP-00188,220.9,94.3,29.6,3.34,400.0,-0.33,1
SMP-00189,20.1,90.4,13.3,8.83,1382.0,-0.49,1
SMP-00190,234.7,60.6,51.0,6.07,1400.0,0.41,1
SMP-00191,209.3,56.1,15.5,4.89,2949.0,-0.49,1
SMP-00192,206.6,94.8,28.2,7.95,1781.0,0.17,1
SMP-00193,224.4,30.7,29.8,8.29,1555.0,-0.13,1
SMP-00194,65.5,67.6,45.0,3.8,1680.0,-0.26,1
SMP-00195,56.8,89.6,34.3,9.44,826.0,-0.04,1
SMP-00196,112.1,93.8,31.9,6.31,2720.0,0.29,1
SMP-00197,68.3,36.5,33.6,9.1,2024.0,-0.01,0
SMP-00198,38.1,84.4,44.7,5.48,828.0,0.25,0
SMP-00199,227.2,35.9,26.2,0.9,429.0,0.04,0
SMP-00200,174.5,36.5,21.7,3.63,562.0,-0.41,1
SMP-00201,251.6,41.4,28.8,4.11,581.0,0.4,1
SMP-00202,188.9,68.4,41.0,1.57,2402.0,0.4,1
SMP-00203,130.8,88.8,24.8,3.66,2972.0,0.49,0
SMP-00204,111.9,46.3,20.3,6.17,902.0,-0.26,0
SMP-00205,184.6,79.5,17.4,0.9,2090.0,0.11,1
SMP-00206,208.4,36.1,32.0,7.32,2913.0,0.04,1
SMP-00207,65.7,64.7,45.3,9.08,2040.0,-0.29,1
SMP-00208,46.2,47.5,32.4,4.75,678.0,0.29,0
SMP-00209,161.1,62.0,22.0,2.38,2609.0,-0.41,0
SMP-00210,166.5,34.2,14.1,7.11,938.0,0.37,1
SMP-00211,238.3,87.6,23.6,2.68,2566.0,0.16,1
SMP-00212,101.8,69.2,40.3,4.77,2579.0,0.45,0
SMP-00213,51.4,34.0,15.6,6.33,2094.0,0.1,0
SMP-00214,157.5,85.8,14.6,1.88,1265.0,-0.35,1
SMP-00215,105.4,84.6,12.8,3.32,2898.0,0.3,0
SMP-00216,162.6,55.1,36.0,4.32,2946.0,0.11,1
SMP-00217,243.5,73.4,41.3,2.84,2448.0,-0.18,1
SMP-00218,192.8,38.9,40.9,6.31,3025.0,-0.01,1
SMP-00219,226.7,33.8,32.5,2.76,1111.0,-0.32,1
SMP-00220,230.2,97.1,32.7,6.36,2476.0,-0.45,1
SMP-00221,249.0,97.1,30.7,5.24,1989.0,-0.11,1
SMP-00222,198.3,83.9,12.2,5.65,1597.0,0.24,1
SMP-00223,53.6,88.7,36.7,1.44,1123.0,-0.41,0
SMP-00224,95.2,59.3,13.8,3.39,423.0,-0.1,1
SMP-00225,186.8,35.5,40.0,3.4,1393.0,-0.14,0
SMP-00226,13.2,38.3,13.3,5.33,1321.0,-0.29,0
SMP-00227,120.5,83.1,45.9,8.52,1036.0,0.31,1
SMP-00228,58.9,66.8,26.2,3.78,3030.0,0.05,0
SMP-00229,53.9,33.8,48.1,5.73,559.0,-0.37,0
SMP-00230,229.8,48.5,51.8,0.89,570.0,0.29,1
SMP-00231,248.6,73.7,39.8,8.91,1805.0,-0.01,1
SMP-00232,82.6,88.1,24.2,6.44,758.0,-0.2,1
SMP-00233,50.9,86.7,34.2,0.59,924.0,-0.45,0
SMP-00234,55.1,90.8,26.0,1.89,1674.0,0.26,0
SMP-00235,225.9,96.5,12.8,2.6,2919.0,0.18,1
SMP-00236,236.4,85.5,12.4,8.82,483.0,0.08,1
SMP-00237,56.3,93.6,51.7,3.82,3088.0,0.44,1
SMP-00238,230.8,52.7,42.7,9.21,341.0,-0.3,1
SMP-00239,249.6,43.3,43.1,3.22,3040.0,0.4,1
SMP-00240,167.1,71.5,13.0,2.49,1224.0,0.1,0
SMP-00241,231.9,64.3,22.3,1.75,2273.0,-0.37,1
SMP-00242,123.8,52.6,46.9,0.28,2170.0,-0.35,1
SMP-00243,250.2,58.3,19.5,3.49,2257.0,-0.43,1
SMP-00244,159.2,97.6,30.3,7.52,2350.0,0.37,1
SMP-00245,77.6,70.1,50.1,0.42,2113.0,-0.03,0
SMP-00246,199.2,74.1,18.0,6.23,1626.0,0.02,1
SMP-00247,48.4,80.9,33.8,2.26,376.0,0.39,0
SMP-00248,77.6,35.4,40.1,5.49,2915.0,0.25,0
SMP-00249,95.6,65.8,35.9,0.67,587.0,0.05,0
SMP-00250,133.5,33.2,48.5,8.11,3017.0,-0.46,1
SMP-00251,189.0,55.5,22.2,4.15,2320.0,0.08,1
SMP-00252,61.8,88.9,24.4,1.29,1960.0,0.15,0
SMP-00253,217.5,96.2,46.9,7.52,906.0,-0.43,1
SMP-00254,189.9,63.3,18.7,0.49,2945.0,-0.06,0
SMP-00255,174.2,32.2,38.5,7.66,1160.0,0.06,1
SMP-00256,211.4,91.1,21.0,4.62,2429.0,0.31,1
SMP-00257,68.8,56.4,27.1,8.36,1034.0,0.29,1
SMP-00258,86.0,87.7,44.1,4.46,2716.0,-0.01,1
SMP-00259,111.1,63.7,48.2,6.49,2526.0,0.3,1
SMP-00260,145.9,68.6,36.0,2.49,464.0,-0.02,0
SMP-00261,12.2,42.2,45.0,5.79,723.0,-0.38,0
SMP-00262,103.1,86.0,50.8,4.61,1702.0,0.43,1
SMP-00263,113.9,54.3,13.8,7.99,1438.0,-0.08,0
SMP-00264,191.0,40.6,18.2,4.05,1842.0,0.2,1
SMP-00265,192.0,34.2,15.5,1.27,2886.0,-0.17,0
SMP-00266,84.0,97.1,40.4,3.84,571.0,0.27,1
SMP-00267,162.6,77.8,38.0,0.15,1410.0,-0.1,1
SMP-00268,149.5,92.8,12.2,8.22,1618.0,0.36,1
SMP-00269,157.1,79.1,18.5,8.25,2819.0,0.12,1
SMP-00270,61.6,33.3,29.5,6.93,943.0,-0.03,0
SMP-00271,158.0,71.7,29.4,0.24,2659.0,0.25,0
SMP-00272,55.8,32.8,43.8,6.34,2966.0,0.09,1
SMP-00273,94.3,87.1,19.4,9.42,2718.0,-0.28,1
SMP-00274,168.3,51.9,18.0,9.29,1175.0,0.1,1
SMP-00275,143.7,39.9,47.6,8.78,1323.0,0.41,1
SMP-00276,257.6,40.4,22.8,2.0,2334.0,-0.44,1
SMP-00277,211.6,70.0,46.4,5.6,2909.0,-0.39,1
SMP-00278,239.1,56.8,26.2,7.07,2831.0,-0.04,1
SMP-00279,235.2,83.8,31.2,9.47,2899.0,-0.33,1
SMP-00280,121.2,75.2,26.7,8.04,1068.0,0.04,1
SMP-00281,142.8,64.7,23.3,6.16,1425.0,-0.14,0
SMP-00282,158.6,55.5,29.1,8.0,570.0,0.28,1
SMP-00283,96.8,87.6,32.0,9.01,1408.0,0.03,1
SMP-00284,239.3,36.5,49.6,3.38,2011.0,-0.21,1
SMP-00285,140.1,67.7,51.6,2.42,1586.0,-0.24,1
SMP-00286,165.7,90.6,43.7,1.53,1477.0,0.48,1
SMP-00287,12.6,66.3,44.1,8.39,2474.0,-0.39,1
SMP-00288,222.6,74.9,16.1,0.95,3182.0,0.29,1
SMP-00289,170.0,50.3,14.5,7.46,2618.0,-0.19,0
SMP-00290,19.0,91.2,49.0,1.76,720.0,0.12,0
SMP-00291,11.7,82.8,15.8,6.14,1199.0,-0.46,0
SMP-00292,148.4,97.6,29.7,2.42,438.0,0.33,1
SMP-00293,202.9,48.0,34.4,1.17,987.0,-0.3,1
SMP-00294,98.5,68.5,36.3,6.23,1144.0,-0.42,1
SMP-00295,41.0,84.1,42.3,3.32,2260.0,-0.05,0
SMP-00296,97.0,82.7,31.2,9.29,2099.0,0.17,1
SMP-00297,121.6,44.6,45.7,2.09,3197.0,0.13,0
SMP-00298,115.9,35.9,35.0,3.46,1209.0,0.33,0
SMP-00299,18.2,32.9,20.7,2.37,1102.0,-0.1,0
SMP-00300,89.5,47.6,15.9,8.74,2332.0,0.04,0
SMP-00301,192.8,38.7,42.6,1.21,2515.0,-0.01,0
SMP-00302,38.2,41.6,32.1,3.6,1202.0,-0.05,0
SMP-00303,144.5,52.1,39.7,2.21,1248.0,-0.34,0
SMP-00304,152.2,36.1,20.3,3.52,1345.0,-0.22,1
SMP-00305,55.8,49.3,35.2,3.25,1655.0,-0.37,0
SMP-00306,95.4,83.7,31.8,4.69,2542.0,0.27,1
SMP-00307,52.2,89.0,22.9,7.35,424.0,-0.04,0
SMP-00308,185.3,66.7,13.6,0.62,552.0,0.41,0
SMP-00309,133.6,72.6,17.9,8.21,2111.0,0.04,1
SMP-00310,73.5,74.1,41.0,0.65,2861.0,0.18,0
SMP-00311,130.3,52.3,50.4,1.96,2712.0,0.24,1
SMP-00312,84.6,64.3,24.0,1.29,1033.0,0.03,0
SMP-00313,117.2,49.5,46.9,6.56,2754.0,0.27,1
SMP-00314,152.4,56.1,28.5,2.53,1516.0,0.36,1
SMP-00315,144.8,41.5,23.8,9.25,1504.0,-0.45,0
SMP-00316,93.1,33.6,46.7,2.41,319.0,-0.32,0
SMP-00317,200.9,50.8,14.4,1.82,3137.0,-0.27,0
SMP-00318,259.4,47.9,38.2,4.62,2621.0,-0.21,1
SMP-00319,70.0,32.7,26.4,5.95,924.0,0.42,0
SMP-00320,67.9,86.2,25.1,1.67,2046.0,0.11,1
SMP-00321,133.6,30.6,41.1,4.77,1351.0,0.02,0
SMP-00322,54.7,70.1,48.0,2.34,2028.0,-0.09,0
SMP-00323,178.2,78.3,38.5,7.85,816.0,-0.45,1
SMP-00324,85.7,74.3,28.2,4.12,1251.0,0.2,1
SMP-00325,218.1,48.6,23.5,8.96,523.0,-0.2,1
SMP-00326,163.8,57.4,30.4,6.98,651.0,-0.48,1
SMP-00327,75.5,58.7,29.5,1.25,2640.0,0.44,0
SMP-00328,104.3,66.5,40.3,0.54,1435.0,-0.41,1
SMP-00329,179.1,75.4,29.5,2.81,388.0,-0.32,1
SMP-00330,245.2,62.6,45.5,8.4,2489.0,0.22,1
SMP-00331,37.7,51.3,19.0,8.85,2898.0,-0.41,0
SMP-00332,73.8,54.9,15.3,2.81,720.0,0.27,0
SMP-00333,202.2,32.8,38.5,8.84,2887.0,0.37,1
SMP-00334,202.5,83.6,45.2,3.66,2177.0,0.21,1
SMP-00335,243.9,52.0,23.0,6.88,2034.0,-0.19,1
SMP-00336,50.6,92.7,45.7,8.54,2931.0,0.27,1
SMP-00337,29.0,66.8,47.5,1.14,1740.0,0.06,0
SMP-00338,60.4,36.5,16.9,6.75,1078.0,0.48,0
SMP-00339,65.6,42.0,49.2,3.95,1457.0,-0.04,0
SMP-00340,259.8,44.1,44.4,1.94,2483.0,-0.19,1
SMP-00341,150.0,77.3,43.3,1.72,1654.0,0.32,1
SMP-00342,112.4,94.0,34.8,7.08,422.0,-0.3,1
SMP-00343,140.0,67.6,13.1,9.13,1084.0,0.0,1
SMP-00344,65.7,63.2,23.1,9.09,662.0,-0.11,1
SMP-00345,69.1,62.0,45.2,1.58,1816.0,0.13,0
SMP-00346,151.1,94.7,47.5,1.3,2232.0,-0.34,1
SMP-00347,21.2,68.5,32.0,3.33,2813.0,-0.4,0
SMP-00348,62.7,44.0,49.7,0.7,2302.0,-0.49,0
SMP-00349,76.2,43.8,13.3,4.03,488.0,0.11,0
SMP-00350,167.7,61.3,31.5,8.27,1394.0,0.22,1
SMP-00351,115.7,70.9,27.2,5.14,471.0,-0.03,1
SMP-00352,27.1,84.7,36.6,4.44,1610.0,0.15,0
SMP-00353,222.9,41.2,24.3,5.57,2317.0,0.14,1
SMP-00354,246.8,54.8,12.4,7.8,385.0,0.39,1
SMP-00355,207.7,74.8,34.3,0.45,1545.0,0.03,1
SMP-00356,236.7,67.3,31.2,6.21,2937.0,0.25,1
SMP-00357,85.6,33.9,17.7,3.03,752.0,0.37,0
SMP-00358,74.6,35.1,31.8,1.18,2979.0,0.14,0
SMP-00359,160.4,44.0,43.7,1.79,2902.0,0.1,0
SMP-00360,253.9,54.5,29.2,6.28,2948.0,-0.22,1
SMP-00361,221.4,88.9,49.4,2.13,1489.0,-0.31,1
SMP-00362,85.7,97.0,42.3,6.79,1704.0,-0.12,1
SMP-00363,39.2,37.3,38.4,3.52,2079.0,-0.25,0
SMP-00364,224.8,68.0,31.9,0.56,2547.0,-0.28,1
SMP-00365,20.8,87.4,50.9,1.16,2666.0,-0.29,0
SMP-00366,115.1,89.9,42.4,6.36,986.0,-0.33,1
SMP-00367,65.7,62.1,23.9,4.15,1542.0,0.34,0
SMP-00368,250.8,30.3,44.9,3.66,496.0,0.48,1
SMP-00369,224.2,79.9,22.5,0.45,594.0,-0.29,1
SMP-00370,33.7,57.6,35.5,6.59,400.0,0.43,0
SMP-00371,132.2,59.4,31.1,5.73,808.0,-0.21,0
SMP-00372,31.8,57.1,42.1,6.88,1581.0,0.47,0
SMP-00373,113.4,53.2,46.9,4.43,3162.0,0.09,1
SMP-00374,40.0,59.5,50.8,4.17,468.0,0.44,0
SMP-00375,74.2,40.1,13.8,9.24,2079.0,-0.16,0
SMP-00376,37.0,94.9,33.2,6.67,519.0,0.3,0
SMP-00377,140.3,53.9,16.3,4.23,2231.0,-0.41,0
SMP-00378,100.8,74.3,12.9,0.43,1480.0,-0.22,0
SMP-00379,48.2,71.2,30.5,8.56,933.0,0.24,0
SMP-00380,29.1,49.2,18.7,1.3,935.0,0.49,0
SMP-00381,123.0,53.5,13.8,2.29,2218.0,-0.25,0
SMP-00382,75.3,74.7,30.0,8.42,1854.0,0.12,1
SMP-00383,24.5,33.5,17.2,7.05,1054.0,-0.28,0
SMP-00384,166.3,80.0,31.6,7.88,2954.0,0.07,1
SMP-00385,123.1,32.4,41.9,3.01,1414.0,-0.23,0
SMP-00386,59.4,30.4,31.4,1.03,968.0,-0.34,0
SMP-00387,202.8,58.8,16.2,1.18,2207.0,0.15,1
SMP-00388,147.5,58.1,51.4,2.04,1024.0,0.08,1
SMP-00389,110.5,81.4,46.5,2.95,381.0,0.18,1
SMP-00390,13.2,53.1,19.1,2.15,3122.0,0.33,0
SMP-00391,94.0,43.5,45.7,5.04,1706.0,-0.3,1
SMP-00392,145.8,81.7,43.4,0.37,510.0,-0.27,1
SMP-00393,226.7,50.0,32.2,3.24,820.0,-0.25,1
SMP-00394,238.3,44.0,31.6,6.28,2430.0,-0.18,1
SMP-00395,128.0,39.2,19.2,3.87,2229.0,0.37,0
SMP-00396,207.3,66.1,14.5,4.6,2091.0,-0.27,1
SMP-00397,221.2,57.9,25.5,4.79,1000.0,-0.0,1
SMP-00398,244.6,51.3,31.6,8.15,2308.0,0.48,1
SMP-00399,194.7,93.1,51.8,3.28,934.0,-0.34,1
SMP-00400,66.1,45.9,14.3,8.4,2161.0,-0.35,0
SMP-00401,44.0,42.4,38.5,2.64,1401.0,-0.47,0
SMP-00402,143.7,30.1,47.7,2.12,2961.0,0.46,0
SMP-00403,112.1,50.9,37.6,5.16,2239.0,0.28,1
SMP-00404,20.9,73.0,48.7,2.16,2122.0,0.16,0
SMP-00405,41.7,59.9,21.1,5.67,2769.0,-0.3,0
